GERENCIA_SERVICIOS,EQUIPO_COMERCIAL,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,TARIFA,CONEXIONES_AGUA,CONEXIONES_ALCANTARILLADO,ANIO,MES,FECHA_CORTE
GERENCIA NORTE,CS COMAS,LIMA,LIMA,CARABAYLLO,150106,SOCIAL,381,540,2026,202605,20260531
GERENCIA NORTE,CS COMAS,LIMA,LIMA,CARABAYLLO,150106,DOMESTICO,85283,82650,2026,202605,20260531
GERENCIA NORTE,CS COMAS,LIMA,LIMA,CARABAYLLO,150106,COMERCIAL,2092,1879,2026,202605,20260531
GERENCIA NORTE,CS COMAS,LIMA,LIMA,CARABAYLLO,150106,INDUSTRIAL,624,620,2026,202605,20260531
GERENCIA NORTE,CS COMAS,LIMA,LIMA,CARABAYLLO,150106,ESTATAL,61,12,2026,202605,20260531
GERENCIA NORTE,CS COMAS,LIMA,LIMA,COMAS,150110,SOCIAL,214,1386,2026,202605,20260531
GERENCIA NORTE,CS COMAS,LIMA,LIMA,COMAS,150110,DOMESTICO,75837,72365,2026,202605,20260531
GERENCIA NORTE,CS COMAS,LIMA,LIMA,COMAS,150110,COMERCIAL,2525,2124,2026,202605,20260531
GERENCIA NORTE,CS COMAS,LIMA,LIMA,COMAS,150110,INDUSTRIAL,96,98,2026,202605,20260531
GERENCIA NORTE,CS COMAS,LIMA,LIMA,COMAS,150110,ESTATAL,1,1,2026,202605,20260531
GERENCIA NORTE,CS COMAS,LIMA,LIMA,PUENTE PIEDRA,150125,SOCIAL,680,296,2026,202605,20260531
GERENCIA NORTE,CS COMAS,LIMA,LIMA,PUENTE PIEDRA,150125,DOMESTICO,62541,61536,2026,202605,20260531
GERENCIA NORTE,CS COMAS,LIMA,LIMA,PUENTE PIEDRA,150125,COMERCIAL,2377,2180,2026,202605,20260531
GERENCIA NORTE,CS COMAS,LIMA,LIMA,PUENTE PIEDRA,150125,INDUSTRIAL,416,349,2026,202605,20260531
GERENCIA NORTE,CS COMAS,LIMA,LIMA,PUENTE PIEDRA,150125,ESTATAL,8,1,2026,202605,20260531
GERENCIA NORTE,CS COMAS,LIMA,LIMA,RIMAC,150128,SOCIAL,96,41,2026,202605,20260531
GERENCIA NORTE,CS COMAS,LIMA,LIMA,RIMAC,150128,DOMESTICO,26832,21400,2026,202605,20260531
GERENCIA NORTE,CS COMAS,LIMA,LIMA,RIMAC,150128,COMERCIAL,1278,814,2026,202605,20260531
GERENCIA NORTE,CS COMAS,LIMA,LIMA,RIMAC,150128,INDUSTRIAL,48,39,2026,202605,20260531
GERENCIA NORTE,CS COMAS,LIMA,LIMA,RIMAC,150128,ESTATAL,1,1,2026,202605,20260531
GERENCIA NORTE,CS COMAS,LIMA,LIMA,INDEPENDENCIA,150112,SOCIAL,93,78,2026,202605,20260531
GERENCIA NORTE,CS COMAS,LIMA,LIMA,INDEPENDENCIA,150112,DOMESTICO,27762,26724,2026,202605,20260531
GERENCIA NORTE,CS COMAS,LIMA,LIMA,INDEPENDENCIA,150112,COMERCIAL,456,352,2026,202605,20260531
GERENCIA NORTE,CS COMAS,LIMA,LIMA,INDEPENDENCIA,150112,INDUSTRIAL,29,26,2026,202605,20260531
GERENCIA NORTE,CS COMAS,LIMA,LIMA,INDEPENDENCIA,150112,ESTATAL,0,0,2026,202605,20260531
GERENCIA NORTE,CS COMAS,LIMA,LIMA,SAN MARTIN DE PORRES,150135,SOCIAL,134,63,2026,202605,20260531
GERENCIA NORTE,CS COMAS,LIMA,LIMA,SAN MARTIN DE PORRES,150135,DOMESTICO,113460,102170,2026,202605,20260531
GERENCIA NORTE,CS COMAS,LIMA,LIMA,SAN MARTIN DE PORRES,150135,COMERCIAL,5678,4607,2026,202605,20260531
GERENCIA NORTE,CS COMAS,LIMA,LIMA,SAN MARTIN DE PORRES,150135,INDUSTRIAL,397,376,2026,202605,20260531
GERENCIA NORTE,CS COMAS,LIMA,LIMA,SAN MARTIN DE PORRES,150135,ESTATAL,1,1,2026,202605,20260531
GERENCIA NORTE,CS COMAS,LIMA,LIMA,LOS OLIVOS,150117,SOCIAL,81,74,2026,202605,20260531
GERENCIA NORTE,CS COMAS,LIMA,LIMA,LOS OLIVOS,150117,DOMESTICO,51007,48102,2026,202605,20260531
GERENCIA NORTE,CS COMAS,LIMA,LIMA,LOS OLIVOS,150117,COMERCIAL,2955,2335,2026,202605,20260531
GERENCIA NORTE,CS COMAS,LIMA,LIMA,LOS OLIVOS,150117,INDUSTRIAL,323,311,2026,202605,20260531
GERENCIA NORTE,CS COMAS,LIMA,LIMA,LOS OLIVOS,150117,ESTATAL,0,0,2026,202605,20260531
GERENCIA NORTE,CS CALLAO,LIMA,LIMA,ANCON,150102,SOCIAL,317,30,2026,202605,20260531
GERENCIA NORTE,CS CALLAO,LIMA,LIMA,ANCON,150102,DOMESTICO,6905,6700,2026,202605,20260531
GERENCIA NORTE,CS CALLAO,LIMA,LIMA,ANCON,150102,COMERCIAL,165,154,2026,202605,20260531
GERENCIA NORTE,CS CALLAO,LIMA,LIMA,ANCON,150102,INDUSTRIAL,6,6,2026,202605,20260531
GERENCIA NORTE,CS CALLAO,LIMA,LIMA,ANCON,150102,ESTATAL,1,1,2026,202605,20260531
GERENCIA NORTE,CS CALLAO,LIMA,LIMA,SANTA ROSA,150139,SOCIAL,37,10,2026,202605,20260531
GERENCIA NORTE,CS CALLAO,LIMA,LIMA,SANTA ROSA,150139,DOMESTICO,6781,6702,2026,202605,20260531
GERENCIA NORTE,CS CALLAO,LIMA,LIMA,SANTA ROSA,150139,COMERCIAL,84,81,2026,202605,20260531
GERENCIA NORTE,CS CALLAO,LIMA,LIMA,SANTA ROSA,150139,INDUSTRIAL,2,2,2026,202605,20260531
GERENCIA NORTE,CS CALLAO,LIMA,LIMA,SANTA ROSA,150139,ESTATAL,0,0,2026,202605,20260531
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,CALLAO,070101,SOCIAL,145,73,2026,202605,20260531
