NRO_MES,MES,TIPO_FUENTE,INFRAESTRUCTURA,CUENCA,VOLUMEN_M3,ANIO,FECHA_CORTE
1,Enero,SUPERFICIAL,Plantas 1 y 2 La Atarjea,Río Rímac,48603849,2026,20260531
2,Febrero,SUPERFICIAL,Plantas 1 y 2 La Atarjea,Río Rímac,44506597,2026,20260531
3,Marzo,SUPERFICIAL,Plantas 1 y 2 La Atarjea,Río Rímac,49389057,2026,20260531
4,Abril,SUPERFICIAL,Plantas 1 y 2 La Atarjea,Río Rímac,47133291,2026,20260531
5,Mayo,SUPERFICIAL,Plantas 1 y 2 La Atarjea,Río Rímac,48617122,2026,20260531
1,Enero,SUPERFICIAL,Planta Huachipa,Río Rímac,9910720,2026,20260531
2,Febrero,SUPERFICIAL,Planta Huachipa,Río Rímac,8815808,2026,20260531
3,Marzo,SUPERFICIAL,Planta Huachipa,Río Rímac,9829632,2026,20260531
4,Abril,SUPERFICIAL,Planta Huachipa,Río Rímac,9249152,2026,20260531
5,Mayo,SUPERFICIAL,Planta Huachipa,Río Rímac,8769408,2026,20260531
1,Enero,SUPERFICIAL,Planta Chillón,Río Chillón,3458422,2026,20260531
2,Febrero,SUPERFICIAL,Planta Chillón,Río Chillón,4809764,2026,20260531
3,Marzo,SUPERFICIAL,Planta Chillón,Río Chillón,5323578,2026,20260531
4,Abril,SUPERFICIAL,Planta Chillón,Río Chillón,5158451,2026,20260531
5,Mayo,SUPERFICIAL,Planta Chillón,Río Chillón,4729562,2026,20260531
1,Enero,SUPERFICIAL,Planta Provisur,Río Lurín,290265,2026,20260531
2,Febrero,SUPERFICIAL,Planta Provisur,Río Lurín,261844,2026,20260531
3,Marzo,SUPERFICIAL,Planta Provisur,Río Lurín,253825,2026,20260531
4,Abril,SUPERFICIAL,Planta Provisur,Río Lurín,219329,2026,20260531
5,Mayo,SUPERFICIAL,Planta Provisur,Río Lurín,195261,2026,20260531
1,Enero,SUBTERRÁNEA,Pozos,Acuífero,8264703,2026,20260531
2,Febrero,SUBTERRÁNEA,Pozos,Acuífero,6674406,2026,20260531
3,Marzo,SUBTERRÁNEA,Pozos,Acuífero,7486216,2026,20260531
4,Abril,SUBTERRÁNEA,Pozos,Acuífero,7067324,2026,20260531
5,Mayo,SUBTERRÁNEA,Pozos,Acuífero,7368814,2026,20260531
